,00000,00001,00010,00011,00012,00021,00100,00101,00102,00110,00111,00112,00120,00121,00122,00123,00132,00201,00210,00211,00212,00213,00221,00231,00312,00321,01000,01001,01002,01010,01011,01012,01020,01021,01022,01023,01032,01100,01101,01102,01110,01111,01112,01120,01121,01122,01123,01132,01200,01201,01202,01203,01210,01211,01212,01213,01220,01221,01222,01223,01230,01231,01232,01233,01234,01243,01302,01312,01320,01321,01322,01323,01324,01332,01342,01423,01432,02001,02010,02011,02012,02013,02021,02031,02100,02101,02102,02103,02110,02111,02112,02113,02120,02121,02122,02123,02130,02131,02132,02133,02134,02143,02201,02210,02211,02212,02213,02221,02231,02301,02310,02311,02312,02313,02314,02321,02331,02341,02413,02431,03012,03021,03102,03112,03120,03121,03122,03123,03124,03132,03142,03201,03210,03211,03212,03213,03214,03221,03231,03241,03312,03321,03412,03421,04123,04132,04213,04231,04312,04321,10000,10001,10002,10010,10011,10012,10020,10021,10022,10023,10032,10100,10101,10102,10110,10111,10112,10120,10121,10122,10123,10132,10200,10201,10202,10203,10210,10211,10212,10213,10220,10221,10222,10223,10230,10231,10232,10233,10234,10243,10302,10312,10320,10321,10322,10323,10324,10332,10342,10423,10432,11000,11001,11002,11010,11011,11012,11020,11021,11022,11023,11032,11100,11101,11102,11110,11120,11200,11201,11202,11203,11210,11220,11230,11302,11320,12000,12001,12002,12003,12010,12011,12012,12013,12020,12021,12022,12023,12030,12031,12032,12033,12034,12043,12100,12101,12102,12103,12110,12120,12130,12200,12201,12202,12203,12210,12220,12230,12300,12301,12302,12303,12304,12310,12320,12330,12340,12403,12430,13002,13012,13020,13021,13022,13023,13024,13032,13042,13102,13120,13200,13201,13202,13203,13204,13210,13220,13230,13240,13302,13320,13402,13420,14023,14032,14203,14230,14302,14320,20001,20010,20011,20012,20013,20021,20031,20100,20101,20102,20103,20110,20111,20112,20113,20120,20121,20122,20123,20130,20131,20132,20133,20134,20143,20201,20210,20211,20212,20213,20221,20231,20301,20310,20311,20312,20313,20314,20321,20331,20341,20413,20431,21000,21001,21002,21003,21010,21011,21012,21013,21020,21021,21022,21023,21030,21031,21032,21033,21034,21043,21100,21101,21102,21103,21110,21120,21130,21200,21201,21202,21203,21210,21220,21230,21300,21301,21302,21303,21304,21310,21320,21330,21340,21403,21430,22001,22010,22011,22012,22013,22021,22031,22100,22101,22102,22103,22110,22120,22130,22201,22210,22301,22310,23001,23010,23011,23012,23013,23014,23021,23031,23041,23100,23101,23102,23103,23104,23110,23120,23130,23140,23201,23210,23301,23310,23401,23410,24013,24031,24103,24130,24301,24310,30012,30021,30102,30112,30120,30121,30122,30123,30124,30132,30142,30201,30210,30211,30212,30213,30214,30221,30231,30241,30312,30321,30412,30421,31002,31012,31020,31021,31022,31023,31024,31032,31042,31102,31120,31200,31201,31202,31203,31204,31210,31220,31230,31240,31302,31320,31402,31420,32001,32010,32011,32012,32013,32014,32021,32031,32041,32100,32101,32102,32103,32104,32110,32120,32130,32140,32201,32210,32301,32310,32401,32410,33012,33021,33102,33120,33201,33210,34012,34021,34102,34120,34201,34210,40123,40132,40213,40231,40312,40321,41023,41032,41203,41230,41302,41320,42013,42031,42103,42130,42301,42310,43012,43021,43102,43120,43201,43210
11012,7,3,9,5,4,6,11,7,6,13,9,7,12,9,7,6,8,8,14,11,9,8,11,10,10,12,9,5,4,9,5,3,10,7,5,4,6,13,9,7,13,9,6,13,10,7,6,8,14,11,9,8,15,12,9,8,15,13,10,8,14,12,10,8,7,9,10,10,16,14,12,10,9,12,11,11,13,6,10,7,5,4,7,8,12,9,7,6,13,10,7,6,11,9,6,4,12,10,8,6,5,7,11,15,13,10,8,12,12,12,16,14,12,10,9,14,14,13,11,15,6,8,8,8,12,10,8,6,5,8,9,10,14,12,10,8,7,12,10,11,12,14,13,15,7,9,9,11,11,13,9,5,4,9,5,3,10,7,5,4,6,13,9,7,13,9,6,13,10,7,6,8,14,11,9,8,15,12,9,8,15,13,10,8,14,12,10,8,7,9,10,10,16,14,12,10,9,12,11,11,13,9,5,3,7,3,0,9,6,3,2,4,13,9,6,11,12,15,12,9,8,14,15,14,10,16,10,7,5,4,9,6,3,2,9,7,4,2,10,8,6,4,3,5,13,10,7,6,12,11,12,15,13,10,8,15,14,14,16,14,12,10,9,16,16,16,15,11,17,6,4,10,8,6,4,3,6,7,8,12,14,12,10,8,7,14,14,12,13,12,16,13,17,5,7,9,13,11,15,6,10,7,5,4,7,8,12,9,7,6,13,10,7,6,11,9,6,4,12,10,8,6,5,7,11,15,13,10,8,12,12,12,16,14,12,10,9,14,14,13,11,15,10,7,5,4,9,6,3,2,9,7,4,2,10,8,6,4,3,5,13,10,7,6,12,11,12,15,13,10,8,15,14,14,16,14,12,10,9,16,16,16,15,11,17,7,9,7,4,2,6,8,11,9,6,4,11,8,10,12,14,14,16,8,10,8,6,4,3,8,8,9,12,10,8,6,5,12,10,10,11,12,14,14,16,15,17,5,9,7,11,13,15,6,8,8,8,12,10,8,6,5,8,9,10,14,12,10,8,7,12,10,11,12,14,13,15,6,4,10,8,6,4,3,6,7,8,12,14,12,10,8,7,14,14,12,13,12,16,13,17,8,10,8,6,4,3,8,8,9,12,10,8,6,5,12,10,10,11,12,14,14,16,15,17,6,8,8,10,10,12,7,9,9,11,11,13,7,9,9,11,11,13,5,7,9,13,11,15,5,9,7,11,13,15,7,9,9,11,11,13
11020,8,12,4,8,9,7,12,14,15,8,10,12,7,8,10,11,9,15,9,12,12,13,10,9,13,11,8,12,13,4,8,10,3,6,8,9,7,12,14,16,8,10,13,6,7,10,11,9,13,16,16,17,10,13,14,15,8,10,11,13,7,9,9,11,12,10,17,15,9,11,13,13,14,11,10,14,12,11,5,8,10,11,6,5,11,12,14,15,8,9,12,13,6,6,9,11,5,5,7,9,10,8,14,10,12,13,15,9,7,15,11,13,15,15,16,11,9,8,16,10,9,7,13,11,7,7,9,11,12,7,6,13,9,11,11,13,14,9,7,6,13,11,14,12,10,8,12,8,12,10,8,12,13,4,8,10,3,6,8,9,7,12,14,16,8,10,13,6,7,10,11,9,13,16,16,17,10,13,14,15,8,10,11,13,7,9,9,11,12,10,17,15,9,11,13,13,14,11,10,14,12,6,10,12,2,6,9,0,3,6,7,5,10,12,15,6,3,12,15,16,17,9,6,5,17,7,7,10,12,13,4,7,10,11,2,4,7,9,1,3,5,7,8,6,10,11,14,15,7,4,3,12,14,15,17,10,7,5,13,15,17,17,18,11,9,7,6,18,8,11,9,3,5,7,9,10,5,4,13,5,11,13,13,15,16,9,7,5,4,15,9,16,10,8,6,14,6,14,8,11,5,8,10,11,6,5,11,12,14,15,8,9,12,13,6,6,9,11,5,5,7,9,10,8,14,10,12,13,15,9,7,15,11,13,15,15,16,11,9,8,16,10,7,10,12,13,4,7,10,11,2,4,7,9,1,3,5,7,8,6,10,11,14,15,7,4,3,12,14,15,17,10,7,5,13,15,17,17,18,11,9,7,6,18,8,8,4,6,9,11,3,1,8,8,11,13,6,3,1,11,9,13,11,9,5,7,9,11,12,5,3,2,9,9,11,13,14,7,5,3,2,11,9,13,11,14,12,10,4,12,4,12,10,9,7,13,11,7,7,9,11,12,7,6,13,9,11,11,13,14,9,7,6,13,11,14,12,11,9,3,5,7,9,10,5,4,13,5,11,13,13,15,16,9,7,5,4,15,9,16,10,9,5,7,9,11,12,5,3,2,9,9,11,13,14,7,5,3,2,11,9,13,11,14,12,7,5,9,5,9,7,8,6,10,6,10,8,10,8,12,8,12,10,8,6,14,6,14,8,10,4,12,4,12,10,8,6,10,6,10,8
11021,7,9,3,5,6,4,11,13,12,7,9,9,6,7,7,8,6,14,8,11,11,10,9,8,12,10,9,9,10,5,5,7,4,3,5,6,4,13,13,13,9,9,10,7,6,7,8,6,14,15,15,14,11,12,13,12,9,9,10,10,8,8,8,8,9,7,16,14,10,10,12,12,11,10,9,13,11,10,6,7,7,8,5,4,12,13,11,12,9,10,9,10,7,7,6,8,6,6,4,6,7,5,15,11,13,12,12,10,8,16,12,14,14,14,13,12,10,9,15,11,8,6,12,10,8,8,8,8,9,6,5,14,10,12,12,10,11,10,8,7,14,12,15,13,9,7,11,9,13,11,9,9,10,5,5,7,4,3,5,6,4,13,13,13,9,9,10,7,6,7,8,6,14,15,15,14,11,12,13,12,9,9,10,10,8,8,8,8,9,7,16,14,10,10,12,12,11,10,9,13,11,9,7,9,5,3,6,3,0,3,4,2,13,11,12,9,6,15,14,15,14,12,9,8,16,10,10,9,9,10,7,6,7,8,5,3,4,6,4,2,2,4,5,3,13,12,11,12,10,7,6,15,15,14,14,13,10,8,16,16,16,16,15,14,12,10,9,17,11,10,8,6,4,6,6,7,4,3,12,8,14,14,14,12,13,12,10,8,7,16,12,17,13,7,5,13,9,15,11,10,6,7,7,8,5,4,12,13,11,12,9,10,9,10,7,7,6,8,6,6,4,6,7,5,15,11,13,12,12,10,8,16,12,14,14,14,13,12,10,9,15,11,10,9,9,10,7,6,7,8,5,3,4,6,4,2,2,4,5,3,13,12,11,12,10,7,6,15,15,14,14,13,10,8,16,16,16,16,15,14,12,10,9,17,11,9,7,7,6,8,4,2,11,11,8,10,9,6,4,14,12,16,14,10,8,8,8,8,9,6,4,3,12,12,10,10,11,10,8,6,5,14,12,16,14,17,15,9,5,11,7,15,13,8,6,12,10,8,8,8,8,9,6,5,14,10,12,12,10,11,10,8,7,14,12,15,13,10,8,6,4,6,6,7,4,3,12,8,14,14,14,12,13,12,10,8,7,16,12,17,13,10,8,8,8,8,9,6,4,3,12,12,10,10,11,10,8,6,5,14,12,16,14,17,15,8,6,10,8,12,10,9,7,11,9,13,11,9,7,11,9,13,11,7,5,13,9,15,11,9,5,11,7,15,13,9,7,11,9,13,11
11022,8,6,6,2,3,3,12,10,9,10,6,6,9,6,4,5,5,11,11,8,8,7,8,7,9,9,10,8,7,8,4,4,7,4,2,3,3,14,12,10,12,8,7,10,7,4,5,5,15,14,12,11,14,11,10,9,12,10,7,7,11,9,7,5,6,6,13,11,13,11,9,9,8,9,8,10,10,9,9,6,6,5,6,5,13,12,10,9,12,9,8,7,10,8,5,5,9,7,5,3,4,4,14,14,12,11,9,11,9,15,15,13,13,11,10,13,11,10,12,12,7,7,11,9,11,9,7,7,6,7,6,13,13,11,11,9,8,11,9,8,13,13,14,14,8,8,10,10,12,12,10,8,7,8,4,4,7,4,2,3,3,14,12,10,12,8,7,10,7,4,5,5,15,14,12,11,14,11,10,9,12,10,7,7,11,9,7,5,6,6,13,11,13,11,9,9,8,9,8,10,10,10,8,6,8,4,3,6,3,0,1,1,14,12,9,12,9,16,15,12,11,15,12,11,13,13,11,10,8,7,10,7,6,5,8,6,3,3,7,5,3,1,2,2,14,13,10,9,13,10,9,16,16,13,11,16,13,11,17,17,15,13,12,17,15,13,12,14,14,9,7,9,7,5,5,4,5,4,11,11,15,15,13,11,10,15,13,11,10,15,15,16,16,6,6,12,12,14,14,9,9,6,6,5,6,5,13,12,10,9,12,9,8,7,10,8,5,5,9,7,5,3,4,4,14,14,12,11,9,11,9,15,15,13,13,11,10,13,11,10,12,12,11,10,8,7,10,7,6,5,8,6,3,3,7,5,3,1,2,2,14,13,10,9,13,10,9,16,16,13,11,16,13,11,17,17,15,13,12,17,15,13,12,14,14,10,10,8,7,5,7,5,12,12,9,7,12,9,7,15,15,17,17,11,11,9,9,7,6,9,7,6,13,13,11,9,8,13,11,9,8,15,15,17,17,18,18,8,8,10,10,16,16,7,7,11,9,11,9,7,7,6,7,6,13,13,11,11,9,8,11,9,8,13,13,14,14,9,7,9,7,5,5,4,5,4,11,11,15,15,13,11,10,15,13,11,10,15,15,16,16,11,11,9,9,7,6,9,7,6,13,13,11,9,8,13,11,9,8,15,15,17,17,18,18,9,9,11,11,13,13,10,10,12,12,14,14,8,8,10,10,12,12,6,6,12,12,14,14,8,8,10,10,16,16,10,10,12,12,14,14
11023,9,5,7,3,2,4,13,9,8,11,7,5,10,7,5,4,6,10,12,9,7,6,9,8,8,10,11,7,6,9,5,3,8,5,3,2,4,15,11,9,13,9,6,11,8,5,4,6,16,13,11,10,15,12,9,8,13,11,8,6,12,10,8,6,5,7,12,10,14,12,10,8,7,10,9,9,11,8,10,7,5,4,7,6,14,11,9,8,13,10,7,6,11,9,6,4,10,8,6,4,3,5,13,15,13,10,8,12,10,14,16,14,12,10,9,14,12,11,11,13,6,8,10,8,12,10,8,6,5,8,7,12,14,12,10,8,7,12,10,9,12,14,13,15,7,9,9,11,11,13,11,7,6,9,5,3,8,5,3,2,4,15,11,9,13,9,6,11,8,5,4,6,16,13,11,10,15,12,9,8,13,11,8,6,12,10,8,6,5,7,12,10,14,12,10,8,7,10,9,9,11,11,7,5,9,5,2,7,4,1,0,2,15,11,8,13,10,17,14,11,10,16,13,12,12,14,12,9,7,6,11,8,5,4,9,7,4,2,8,6,4,2,1,3,15,12,9,8,14,11,10,17,15,12,10,17,14,12,18,16,14,12,11,18,16,14,13,13,15,8,6,10,8,6,4,3,6,5,10,12,16,14,12,10,9,16,14,12,11,14,16,15,17,5,7,11,13,13,15,8,10,7,5,4,7,6,14,11,9,8,13,10,7,6,11,9,6,4,10,8,6,4,3,5,13,15,13,10,8,12,10,14,16,14,12,10,9,14,12,11,11,13,12,9,7,6,11,8,5,4,9,7,4,2,8,6,4,2,1,3,15,12,9,8,14,11,10,17,15,12,10,17,14,12,18,16,14,12,11,18,16,14,13,13,15,9,11,9,6,4,8,6,13,11,8,6,13,10,8,14,16,16,18,10,12,10,8,6,5,10,8,7,14,12,10,8,7,14,12,10,9,14,16,16,18,17,19,7,9,9,11,15,17,6,8,10,8,12,10,8,6,5,8,7,12,14,12,10,8,7,12,10,9,12,14,13,15,8,6,10,8,6,4,3,6,5,10,12,16,14,12,10,9,16,14,12,11,14,16,15,17,10,12,10,8,6,5,10,8,7,14,12,10,8,7,14,12,10,9,14,16,16,18,17,19,8,10,10,12,12,14,9,11,11,13,13,15,7,9,9,11,11,13,5,7,11,13,13,15,7,9,9,11,15,17,9,11,11,13,13,15
11032,9,7,5,3,4,2,13,11,10,9,7,7,8,5,5,6,4,12,10,9,9,8,7,6,10,8,11,9,8,7,5,5,6,3,3,4,2,15,13,11,11,9,8,9,6,5,6,4,16,15,13,12,13,12,11,10,11,9,8,8,10,8,6,6,7,5,14,12,12,10,10,10,9,8,7,11,9,10,8,7,7,6,5,4,14,13,11,10,11,10,9,8,9,7,6,6,8,6,4,4,5,3,15,13,13,12,10,10,8,16,14,14,14,12,11,12,10,9,13,11,8,6,12,10,10,8,8,8,7,6,5,14,12,12,12,10,9,10,8,7,14,12,15,13,9,7,11,9,13,11,11,9,8,7,5,5,6,3,3,4,2,15,13,11,11,9,8,9,6,5,6,4,16,15,13,12,13,12,11,10,11,9,8,8,10,8,6,6,7,5,14,12,12,10,10,10,9,8,7,11,9,11,9,7,7,5,4,5,2,1,2,0,15,13,10,11,8,17,16,13,12,14,11,10,14,12,12,11,9,8,9,8,7,6,7,5,4,4,6,4,2,2,3,1,15,14,11,10,12,9,8,17,17,14,12,15,12,10,18,18,16,14,13,16,14,12,11,15,13,10,8,8,6,6,6,5,4,3,12,10,16,16,14,12,11,14,12,10,9,16,14,17,15,7,5,13,11,15,13,10,8,7,7,6,5,4,14,13,11,10,11,10,9,8,9,7,6,6,8,6,4,4,5,3,15,13,13,12,10,10,8,16,14,14,14,12,11,12,10,9,13,11,12,11,9,8,9,8,7,6,7,5,4,4,6,4,2,2,3,1,15,14,11,10,12,9,8,17,17,14,12,15,12,10,18,18,16,14,13,16,14,12,11,15,13,11,9,9,8,6,6,4,13,13,10,8,11,8,6,16,14,18,16,12,10,10,10,8,7,8,6,5,14,14,12,10,9,12,10,8,7,16,14,18,16,19,17,9,7,11,9,17,15,8,6,12,10,10,8,8,8,7,6,5,14,12,12,12,10,9,10,8,7,14,12,15,13,10,8,8,6,6,6,5,4,3,12,10,16,16,14,12,11,14,12,10,9,16,14,17,15,12,10,10,10,8,7,8,6,5,14,14,12,10,9,12,10,8,7,16,14,18,16,19,17,10,8,12,10,14,12,11,9,13,11,15,13,9,7,11,9,13,11,7,5,13,11,15,13,9,7,11,9,17,15,11,9,13,11,15,13
11100,6,10,10,12,13,13,6,10,11,10,12,14,11,14,14,15,15,9,9,10,12,13,12,13,11,11,6,10,11,10,12,14,11,14,14,15,15,4,8,10,8,10,13,10,13,14,15,15,5,8,10,11,8,9,12,13,10,12,13,15,11,13,15,15,16,16,9,11,9,11,11,13,14,13,14,12,12,9,9,10,12,13,12,13,5,8,10,11,8,9,12,13,10,12,13,15,11,13,15,15,16,16,6,6,6,9,11,9,11,7,7,7,9,11,12,9,11,12,10,10,11,11,9,11,9,11,11,13,14,13,14,7,7,7,9,11,12,9,11,12,7,7,8,8,12,12,10,10,8,8,6,10,11,10,12,14,11,14,14,15,15,4,8,10,8,10,13,10,13,14,15,15,5,8,10,11,8,9,12,13,10,12,13,15,11,13,15,15,16,16,9,11,9,11,11,13,14,13,14,12,12,4,8,10,8,10,13,10,13,14,15,15,0,4,7,4,7,2,5,8,9,5,8,9,7,7,5,8,10,11,8,9,12,13,10,12,13,15,11,13,15,15,16,16,2,5,8,9,5,8,9,2,4,7,9,4,7,9,3,5,7,9,10,5,7,9,10,8,8,9,11,9,11,11,13,14,13,14,7,7,3,5,7,9,10,5,7,9,10,5,5,6,6,12,12,8,8,6,6,9,9,10,12,13,12,13,5,8,10,11,8,9,12,13,10,12,13,15,11,13,15,15,16,16,6,6,6,9,11,9,11,7,7,7,9,11,12,9,11,12,10,10,5,8,10,11,8,9,12,13,10,12,13,15,11,13,15,15,16,16,2,5,8,9,5,8,9,2,4,7,9,4,7,9,3,5,7,9,10,5,7,9,10,8,8,6,6,6,9,11,9,11,2,4,7,9,4,7,9,1,1,3,3,7,7,7,9,11,12,9,11,12,3,5,7,9,10,5,7,9,10,3,3,3,3,4,4,10,10,8,8,4,4,11,11,9,11,9,11,11,13,14,13,14,7,7,7,9,11,12,9,11,12,7,7,8,8,9,11,9,11,11,13,14,13,14,7,7,3,5,7,9,10,5,7,9,10,5,5,6,6,7,7,7,9,11,12,9,11,12,3,5,7,9,10,5,7,9,10,3,3,3,3,4,4,7,7,5,5,3,3,8,8,6,6,4,4,12,12,10,10,8,8,12,12,8,8,6,6,10,10,8,8,4,4,8,8,6,6,4,4
11101,4,6,8,10,9,11,6,6,7,10,10,10,11,12,12,11,13,7,9,10,8,9,12,13,9,11,6,6,7,10,10,10,11,12,12,11,13,6,4,6,10,8,9,12,11,12,11,13,7,6,6,7,10,9,8,9,12,12,11,11,13,13,13,13,12,14,7,9,11,11,11,9,10,13,14,10,12,7,9,10,8,9,12,13,7,6,6,7,10,9,8,9,12,12,11,11,13,13,13,13,12,14,6,8,8,5,7,11,13,7,9,9,7,7,8,11,13,14,8,12,9,11,7,9,11,11,11,9,10,13,14,7,9,9,7,7,8,11,13,14,7,9,8,10,10,12,8,12,8,10,6,6,7,10,10,10,11,12,12,11,13,6,4,6,10,8,9,12,11,12,11,13,7,6,6,7,10,9,8,9,12,12,11,11,13,13,13,13,12,14,7,9,11,11,11,9,10,13,14,10,12,6,4,6,10,8,9,12,11,12,11,13,4,0,3,8,11,6,3,4,5,9,12,13,5,11,7,6,6,7,10,9,8,9,12,12,11,11,13,13,13,13,12,14,6,3,4,5,9,12,13,6,4,3,5,8,11,13,7,5,5,5,6,9,11,13,14,6,12,7,9,11,11,11,9,10,13,14,5,11,7,5,5,5,6,9,11,13,14,5,9,6,10,10,12,6,12,6,10,7,9,10,8,9,12,13,7,6,6,7,10,9,8,9,12,12,11,11,13,13,13,13,12,14,6,8,8,5,7,11,13,7,9,9,7,7,8,11,13,14,8,12,7,6,6,7,10,9,8,9,12,12,11,11,13,13,13,13,12,14,6,3,4,5,9,12,13,6,4,3,5,8,11,13,7,5,5,5,6,9,11,13,14,6,12,6,8,8,5,7,11,13,6,4,3,5,8,11,13,3,5,5,7,7,9,9,7,7,8,11,13,14,7,5,5,5,6,9,11,13,14,5,7,5,7,6,8,8,12,6,12,6,8,9,11,7,9,11,11,11,9,10,13,14,7,9,9,7,7,8,11,13,14,7,9,8,10,7,9,11,11,11,9,10,13,14,5,11,7,5,5,5,6,9,11,13,14,5,9,6,10,7,9,9,7,7,8,11,13,14,7,5,5,5,6,9,11,13,14,5,7,5,7,6,8,7,9,5,9,5,7,8,10,6,10,6,8,10,12,8,12,8,10,10,12,6,12,6,10,8,12,6,12,6,8,8,10,6,10,6,8
11102,7,3,11,7,6,8,9,5,4,13,9,7,14,11,9,8,10,6,12,9,7,6,11,12,8,10,9,5,4,13,9,7,14,11,9,8,10,9,5,3,13,9,6,15,12,9,8,10,10,7,5,4,13,10,7,6,15,13,10,8,16,14,12,10,9,11,6,8,14,12,10,8,7,12,13,9,11,6,12,9,7,6,11,12,10,7,5,4,13,10,7,6,15,13,10,8,16,14,12,10,9,11,7,11,9,6,4,12,14,8,12,10,8,6,5,12,14,15,7,13,8,10,6,8,14,12,10,8,7,12,13,8,12,10,8,6,5,12,14,15,8,10,9,11,9,11,7,13,9,11,9,5,4,13,9,7,14,11,9,8,10,9,5,3,13,9,6,15,12,9,8,10,10,7,5,4,13,10,7,6,15,13,10,8,16,14,12,10,9,11,6,8,14,12,10,8,7,12,13,9,11,9,5,3,13,9,6,15,12,9,8,10,7,3,0,11,14,9,6,3,2,12,15,16,4,14,10,7,5,4,13,10,7,6,15,13,10,8,16,14,12,10,9,11,9,6,3,2,12,15,16,9,7,4,2,11,14,16,10,8,6,4,3,12,14,16,17,5,15,6,8,14,12,10,8,7,12,13,4,14,10,8,6,4,3,12,14,16,17,6,12,7,13,9,11,5,15,7,13,6,12,9,7,6,11,12,10,7,5,4,13,10,7,6,15,13,10,8,16,14,12,10,9,11,7,11,9,6,4,12,14,8,12,10,8,6,5,12,14,15,7,13,10,7,5,4,13,10,7,6,15,13,10,8,16,14,12,10,9,11,9,6,3,2,12,15,16,9,7,4,2,11,14,16,10,8,6,4,3,12,14,16,17,5,15,7,11,9,6,4,12,14,9,7,4,2,11,14,16,6,8,8,10,8,12,10,8,6,5,12,14,15,10,8,6,4,3,12,14,16,17,8,10,8,10,9,11,7,13,5,15,9,11,8,10,6,8,14,12,10,8,7,12,13,8,12,10,8,6,5,12,14,15,8,10,9,11,6,8,14,12,10,8,7,12,13,4,14,10,8,6,4,3,12,14,16,17,6,12,7,13,8,12,10,8,6,5,12,14,15,10,8,6,4,3,12,14,16,17,8,10,8,10,9,11,8,10,6,12,8,10,9,11,7,13,9,11,9,11,7,13,9,11,9,11,5,15,7,13,7,13,5,15,9,11,9,11,7,13,9,11
11110,4,8,6,10,11,9,6,10,11,6,10,12,7,10,12,13,11,9,7,10,12,13,8,9,11,9,6,10,11,6,10,12,7,10,12,13,11,6,10,12,4,8,11,6,9,12,13,11,7,10,12,13,6,9,12,13,6,8,11,13,7,9,11,13,14,12,11,11,7,9,11,13,14,9,10,12,10,9,7,10,12,13,8,9,7,10,12,13,6,9,12,13,6,8,11,13,7,9,11,13,14,12,8,6,8,11,13,5,7,9,7,9,11,13,14,7,7,8,12,8,11,9,11,11,7,9,11,13,14,9,10,9,7,9,11,13,14,7,7,8,9,7,10,8,12,10,12,8,10,8,6,10,11,6,10,12,7,10,12,13,11,6,10,12,4,8,11,6,9,12,13,11,7,10,12,13,6,9,12,13,6,8,11,13,7,9,11,13,14,12,11,11,7,9,11,13,14,9,10,12,10,6,10,12,4,8,11,6,9,12,13,11,4,8,11,0,3,6,9,12,13,3,4,5,11,5,7,10,12,13,6,9,12,13,6,8,11,13,7,9,11,13,14,12,6,9,12,13,3,4,5,6,8,11,13,4,3,5,7,9,11,13,14,5,5,5,6,12,6,11,11,7,9,11,13,14,9,10,11,5,7,9,11,13,14,5,5,5,6,9,5,10,6,12,10,12,6,10,6,9,7,10,12,13,8,9,7,10,12,13,6,9,12,13,6,8,11,13,7,9,11,13,14,12,8,6,8,11,13,5,7,9,7,9,11,13,14,7,7,8,12,8,7,10,12,13,6,9,12,13,6,8,11,13,7,9,11,13,14,12,6,9,12,13,3,4,5,6,8,11,13,4,3,5,7,9,11,13,14,5,5,5,6,12,6,8,6,8,11,13,5,7,6,8,11,13,4,3,5,5,3,7,5,9,7,9,11,13,14,7,7,8,7,9,11,13,14,5,5,5,6,7,5,7,5,8,6,12,8,12,6,8,6,11,9,11,11,7,9,11,13,14,9,10,9,7,9,11,13,14,7,7,8,9,7,10,8,11,11,7,9,11,13,14,9,10,11,5,7,9,11,13,14,5,5,5,6,9,5,10,6,9,7,9,11,13,14,7,7,8,7,9,11,13,14,5,5,5,6,7,5,7,5,8,6,9,7,9,5,7,5,10,8,10,6,8,6,12,10,12,8,10,8,12,10,12,6,10,6,12,8,12,6,8,6,10,8,10,6,8,6
11120,7,11,3,7,8,6,9,13,14,5,9,11,4,7,9,10,8,12,6,9,11,12,7,6,10,8,9,13,14,5,9,11,4,7,9,10,8,9,13,15,5,9,12,3,6,9,10,8,10,13,15,16,7,10,13,14,5,7,10,12,4,6,8,10,11,9,14,12,6,8,10,12,13,8,7,11,9,12,6,9,11,12,7,6,10,13,15,16,7,10,13,14,5,7,10,12,4,6,8,10,11,9,11,7,9,12,14,6,4,12,8,10,12,14,15,8,6,5,13,7,10,8,14,12,6,8,10,12,13,8,7,12,8,10,12,14,15,8,6,5,10,8,11,9,11,9,13,7,11,9,9,13,14,5,9,11,4,7,9,10,8,9,13,15,5,9,12,3,6,9,10,8,10,13,15,16,7,10,13,14,5,7,10,12,4,6,8,10,11,9,14,12,6,8,10,12,13,8,7,11,9,9,13,15,5,9,12,3,6,9,10,8,7,11,14,3,0,9,12,15,16,6,3,2,14,4,10,13,15,16,7,10,13,14,5,7,10,12,4,6,8,10,11,9,9,12,15,16,6,3,2,9,11,14,16,7,4,2,10,12,14,16,17,8,6,4,3,15,5,14,12,6,8,10,12,13,8,7,14,4,10,12,14,16,17,8,6,4,3,12,6,13,7,11,9,15,5,13,7,12,6,9,11,12,7,6,10,13,15,16,7,10,13,14,5,7,10,12,4,6,8,10,11,9,11,7,9,12,14,6,4,12,8,10,12,14,15,8,6,5,13,7,10,13,15,16,7,10,13,14,5,7,10,12,4,6,8,10,11,9,9,12,15,16,6,3,2,9,11,14,16,7,4,2,10,12,14,16,17,8,6,4,3,15,5,11,7,9,12,14,6,4,9,11,14,16,7,4,2,8,6,10,8,12,8,10,12,14,15,8,6,5,10,12,14,16,17,8,6,4,3,10,8,10,8,11,9,13,7,15,5,11,9,10,8,14,12,6,8,10,12,13,8,7,12,8,10,12,14,15,8,6,5,10,8,11,9,14,12,6,8,10,12,13,8,7,14,4,10,12,14,16,17,8,6,4,3,12,6,13,7,12,8,10,12,14,15,8,6,5,10,12,14,16,17,8,6,4,3,10,8,10,8,11,9,10,8,12,6,10,8,11,9,13,7,11,9,11,9,13,7,11,9,11,9,15,5,13,7,13,7,15,5,11,9,11,9,13,7,11,9
